Rank,Candidate,Score,Strengths,Weaknesses,Explanation,File
108,15802627,15.10,"ability, analyze, area, c, communication, design, development, engineer, experience, gin","000, 145, about, along, analytical, applied, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\15802627.pdf
109,28630325,14.94,"area, c, design, development, engineer, engineering, experience, gin, mode, planning","000, 145, ability, about, along, analytical, analyze, applied, background, behavior",Similarity=0.03; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\28630325.pdf
110,17103000,14.76,"000, c, communication, design, development, engineer, engineering, experience, gin, performance","145, ability, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\17103000.pdf
111,12748557,14.72,"ability, area, c, cad, design, development, engineer, engineering, experience, gin","000, 145, about, along, analytical, analyze, applied, background, behavior, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\12748557.pdf
112,91635250,14.71,"000, applied, area, behavior, c, communication, development, experience, performance, planning","145, ability, about, along, analytical, analyze, background, cad, canada, design",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\91635250.pdf
113,47549345,14.70,"ability, c, cad, design, development, engineer, engineering, experience, gin, mode","000, 145, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\47549345.pdf
114,13149176,14.67,"000, ability, analyze, c, design, development, engineer, engineering, gin, performance","145, about, along, analytical, applied, area, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\13149176.pdf
115,70089206,14.63,"ability, applied, c, design, development, experience, gin, mode, performance, planning","000, 145, about, along, analytical, analyze, area, background, behavior, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\70089206.pdf
116,18753367,14.54,"analytical, analyze, c, communication, development, engineer, engineering, experience, gin, mode","000, 145, ability, about, along, applied, area, background, behavior, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\18753367.pdf
117,10840430,14.53,"ability, analyze, area, c, cad, communication, development, experience, gin, planning","000, 145, about, along, analytical, applied, background, behavior, canada, design",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\10840430.pdf
118,18176523,14.48,"000, ability, area, c, communication, design, development, engineer, experience, gin","145, about, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\18176523.pdf
119,49127329,14.48,"analytical, analyze, c, design, development, engineer, engineering, gin, mode, performance","000, 145, ability, about, along, applied, area, background, behavior, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\49127329.pdf
120,20674668,14.48,"ability, about, along, analytical, analyze, c, design, development, experience, gin","000, 145, applied, area, background, behavior, cad, canada, communication, engineer",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\20674668.pdf
121,55953734,14.44,"ability, analyze, area, c, cad, design, engineer, engineering, experience, gin","000, 145, about, along, analytical, applied, background, behavior, canada, communication",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\55953734.pdf
122,28831378,14.42,"ability, analytical, area, c, communication, design, development, engineer, engineering, experience","000, 145, about, along, analyze, applied, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\28831378.pdf
123,10985403,14.40,"ability, analyze, c, cad, design, development, engineer, engineering, experience, gin","000, 145, about, along, analytical, applied, area, background, behavior, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\10985403.pdf
124,81761658,14.36,"000, ability, analyze, area, c, communication, development, experience, gin, performance","145, about, along, analytical, applied, background, behavior, cad, canada, design",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\81761658.pdf
125,26291616,14.32,"000, c, communication, design, development, engineer, experience, gin, performance, planning","145, ability, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\26291616.pdf
126,56691064,14.32,"000, about, analyze, c, cad, design, engineer, engineering, experience, gin","145, ability, along, analytical, applied, area, background, behavior, canada, communication",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\56691064.pdf
127,25959103,14.30,"000, area, c, design, development, engineer, experience, gin, performance, planning","145, ability, about, along, analytical, analyze, applied, background, behavior, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\25959103.pdf
128,35172961,14.30,"ability, area, c, cad, design, development, engineer, engineering, experience, gin","000, 145, about, along, analytical, analyze, applied, background, behavior, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\35172961.pdf
129,52618188,14.29,"000, ability, along, c, communication, development, experience, mode, performance, planning","145, about, analytical, analyze, applied, area, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\52618188.pdf
130,64468610,14.24,"000, ability, c, communication, design, development, engineer, engineering, experience, gin","145, about, along, analytical, analyze, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\64468610.pdf
131,28078163,14.23,"000, ability, c, communication, design, development, engineer, engineering, experience, gin","145, about, along, analytical, analyze, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\28078163.pdf
132,27536013,14.22,"000, ability, analyze, area, c, communication, design, development, experience, gin","145, about, along, analytical, applied, background, behavior, cad, canada, engineer",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\27536013.pdf
133,11981094,14.16,"000, ability, c, communication, design, development, engineer, engineering, experience, gin","145, about, along, analytical, analyze, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\11981094.pdf
134,28631840,14.14,"000, ability, c, design, development, engineer, engineering, experience, gin, performance","145, about, along, analytical, analyze, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\28631840.pdf
135,38220146,14.14,"ability, analyze, c, cad, design, development, engineer, engineering, experience, gin","000, 145, about, along, analytical, applied, area, background, behavior, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\38220146.pdf
136,10553553,14.13,"ability, analyze, c, canada, communication, design, development, engineer, experience, gin","000, 145, about, along, analytical, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\10553553.pdf
137,13454871,14.08,"000, c, canada, communication, design, development, engineer, engineering, experience, gin","145, ability, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\13454871.pdf
138,25797445,14.06,"000, ability, applied, c, cad, communication, design, engineer, engineering, experience","145, about, along, analytical, analyze, area, background, behavior, canada, development",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\25797445.pdf
139,17681064,14.06,"000, ability, area, c, communication, experience, gin, mode, performance, r","145, about, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\17681064.pdf
140,39835894,14.05,"about, c, cad, design, engineer, engineering, experience, gin, performance, planning","000, 145, ability, along, analytical, analyze, applied, area, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\39835894.pdf
141,91121135,14.04,"ability, analyze, area, c, communication, development, engineer, engineering, experience, gin","000, 145, about, along, analytical, applied, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\91121135.pdf
142,21366189,14.02,"000, ability, area, c, communication, development, experience, gin, mode, performance","145, about, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\21366189.pdf
143,12334140,14.02,"000, ability, about, area, c, cad, communication, design, experience, gin","145, along, analytical, analyze, applied, background, behavior, canada, development, engineer",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\12334140.pdf
144,16911115,14.01,"ability, applied, area, c, cad, communication, development, engineer, engineering, experience","000, 145, about, along, analytical, analyze, background, behavior, canada, design",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\16911115.pdf
145,20408458,14.00,"000, analyze, area, background, c, communication, design, engineer, engineering, experience","145, ability, about, along, analytical, applied, behavior, cad, canada, development",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\20408458.pdf
146,17043822,13.98,"000, area, c, communication, design, engineer, engineering, experience, gin, performance","145, ability, about, along, analytical, analyze, applied, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\17043822.pdf
147,23666211,13.95,"ability, analyze, c, cad, development, experience, gin, mode, performance, r","000, 145, about, along, analytical, applied, area, background, behavior, canada",Similarity=0.03; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\23666211.pdf
148,14554542,13.93,"area, c, communication, design, engineer, engineering, experience, gin, performance, planning","000, 145, ability, about, along, analytical, analyze, applied, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.45,E:\hackathon\1\resume\14554542.pdf
149,28672970,13.75,"area, c, communication, design, development, engineer, experience, gin, performance, planning","000, 145, ability, about, along, analytical, analyze, applied, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\28672970.pdf
150,51588273,13.66,"along, c, communication, design, development, engineer, engineering, experience, gin, planning","000, 145, ability, about, analytical, analyze, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\51588273.pdf
151,25425322,13.66,"ability, behavior, c, design, development, engineer, engineering, experience, gin, planning","000, 145, about, along, analytical, analyze, applied, area, background, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\25425322.pdf
152,21283365,13.65,"000, area, c, communication, design, development, experience, gin, mode, planning","145, ability, about, along, analytical, analyze, applied, background, behavior, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\21283365.pdf
153,89413122,13.62,"000, area, c, design, development, experience, gin, performance, planning, r","145, ability, about, along, analytical, analyze, applied, background, behavior, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\89413122.pdf
154,43752620,13.62,"analyze, c, cad, design, development, engineer, engineering, experience, gin, mode","000, 145, ability, about, along, analytical, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\43752620.pdf
155,25919149,13.59,"ability, along, analyze, c, communication, design, engineer, engineering, experience, gin","000, 145, about, analytical, applied, area, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\25919149.pdf
156,12763627,13.51,"ability, c, communication, design, engineer, engineering, experience, gin, mode, r","000, 145, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\12763627.pdf
157,21847415,13.50,"ability, analyze, applied, c, communication, design, engineer, engineering, experience, gin","000, 145, about, along, analytical, area, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\21847415.pdf
158,29196643,13.45,"ability, analytical, c, cad, communication, design, experience, gin, planning, r","000, 145, about, along, analyze, applied, area, background, behavior, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\29196643.pdf
159,36434348,13.44,"000, analytical, c, communication, design, development, experience, gin, performance, planning","145, ability, about, along, analyze, applied, area, background, behavior, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\36434348.pdf
160,29723311,13.40,"ability, analyze, c, communication, development, engineer, engineering, experience, gin, performance","000, 145, about, along, analytical, applied, area, background, behavior, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\29723311.pdf
161,37242217,13.37,"ability, analyze, c, communication, design, development, experience, performance, planning, r","000, 145, about, along, analytical, applied, area, background, behavior, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\37242217.pdf
162,21156767,13.35,"about, analyze, c, design, development, engineer, engineering, experience, gin, mode","000, 145, ability, along, analytical, applied, area, background, behavior, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\21156767.pdf
163,41344156,13.35,"000, about, area, c, communication, design, development, experience, gin, performance","145, ability, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\41344156.pdf
164,28697203,13.35,"ability, c, cad, communication, design, development, experience, gin, performance, planning","000, 145, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\28697203.pdf
165,82125182,13.34,"000, analyze, c, cad, engineer, engineering, experience, gin, performance, r","145, ability, about, along, analytical, applied, area, background, behavior, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\82125182.pdf
166,51639418,13.31,"000, analytical, c, cad, communication, design, development, experience, gin, performance","145, ability, about, along, analyze, applied, area, background, behavior, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\51639418.pdf
167,26456899,13.30,"ability, c, cad, communication, development, engineer, engineering, experience, gin, performance","000, 145, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\26456899.pdf
168,15651486,13.25,"000, ability, area, c, design, development, engineer, experience, gin, r","145, about, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\15651486.pdf
169,23864648,13.24,"000, c, design, development, engineer, experience, gin, mode, performance, planning","145, ability, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\23864648.pdf
170,31111279,13.23,"000, about, area, background, c, communication, development, experience, gin, r","145, ability, along, analytical, analyze, applied, behavior, cad, canada, design",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\31111279.pdf
171,96029688,13.21,"000, ability, c, cad, design, engineer, engineering, experience, gin, mode","145, about, along, analytical, analyze, applied, area, background, behavior, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\96029688.pdf
172,15941675,13.19,"ability, analytical, c, communication, development, engineer, engineering, experience, gin, planning","000, 145, about, along, analyze, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\15941675.pdf
173,27040860,13.19,"ability, about, along, c, communication, engineer, engineering, experience, gin, planning","000, 145, analytical, analyze, applied, area, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\27040860.pdf
174,36517781,13.18,"area, c, cad, communication, design, engineer, engineering, experience, gin, performance","000, 145, ability, about, along, analytical, analyze, applied, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\36517781.pdf
175,24913648,13.14,"000, ability, applied, area, c, communication, design, experience, gin, performance","145, about, along, analytical, analyze, background, behavior, cad, canada, development",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\24913648.pdf
176,22890839,13.10,"000, ability, along, c, cad, engineer, engineering, experience, gin, mode","145, about, analytical, analyze, applied, area, background, behavior, canada, communication",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\22890839.pdf
177,11580408,13.00,"000, ability, c, cad, communication, design, development, engineer, experience, gin","145, about, along, analytical, analyze, applied, area, background, behavior, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\11580408.pdf
178,24038620,12.98,"000, ability, area, c, communication, engineer, engineering, experience, gin, planning","145, about, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\24038620.pdf
179,21807224,12.93,"ability, applied, c, cad, design, development, engineer, engineering, experience, gin","000, 145, about, along, analytical, analyze, area, background, behavior, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\21807224.pdf
180,54227873,12.89,"c, cad, design, development, engineer, engineering, experience, gin, mode, r","000, 145, ability, about, along, analytical, analyze, applied, area, background",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\54227873.pdf
181,31243710,12.87,"000, analyze, c, design, engineer, engineering, experience, gin, mode, performance","145, ability, about, along, analytical, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\31243710.pdf
182,11020140,12.78,"000, analytical, c, communication, design, development, experience, gin, r, role","145, ability, about, along, analyze, applied, area, background, behavior, cad",Similarity=0.03; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\11020140.pdf
183,13477922,12.77,"000, applied, area, c, communication, engineer, engineering, experience, gin, performance","145, ability, about, along, analytical, analyze, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\13477922.pdf
184,10641230,12.76,"c, cad, design, development, engineer, engineering, experience, gin, performance, planning","000, 145, ability, about, along, analytical, analyze, applied, area, background",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\10641230.pdf
185,50328713,12.71,"analytical, c, design, development, engineer, engineering, experience, gin, mode, performance","000, 145, ability, about, along, analyze, applied, area, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.41,E:\hackathon\1\resume\50328713.pdf
186,10030015,12.62,"applied, c, design, development, engineer, engineering, experience, gin, performance, r","000, 145, ability, about, along, analytical, analyze, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\10030015.pdf
187,28897981,12.45,"000, c, communication, design, development, experience, performance, planning, r, research","145, ability, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\28897981.pdf
188,55595908,12.44,"ability, c, communication, design, engineer, engineering, experience, gin, performance, r","000, 145, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\55595908.pdf
189,38314236,12.28,"ability, c, cad, design, development, engineer, engineering, experience, gin, r","000, 145, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\38314236.pdf
190,19124258,12.25,"c, cad, design, engineer, engineering, experience, gin, planning, r, research","000, 145, ability, about, along, analytical, analyze, applied, area, background",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\19124258.pdf
191,19396040,12.25,"analytical, c, cad, design, engineer, engineering, experience, gin, planning, r","000, 145, ability, about, along, analyze, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\19396040.pdf
192,28005884,12.23,"area, c, cad, design, development, engineer, engineering, experience, gin, r","000, 145, ability, about, along, analytical, analyze, applied, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\28005884.pdf
193,23234047,12.18,"c, cad, design, engineer, engineering, experience, gin, mode, performance, r","000, 145, ability, about, along, analytical, analyze, applied, area, background",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\23234047.pdf
194,15791766,12.15,"000, ability, analyze, c, communication, experience, performance, planning, r, research","145, about, along, analytical, applied, area, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\15791766.pdf
195,35737840,12.13,"ability, background, c, design, development, engineer, engineering, experience, gin, r","000, 145, about, along, analytical, analyze, applied, area, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\35737840.pdf
196,25930778,12.13,"ability, about, c, cad, design, engineer, engineering, experience, gin, mode","000, 145, along, analytical, analyze, applied, area, background, behavior, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\25930778.pdf
197,17025292,12.10,"000, ability, c, communication, design, development, experience, gin, r, research","145, about, along, analytical, analyze, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\17025292.pdf
198,79541391,12.08,"000, about, area, c, cad, development, experience, gin, planning, r","145, ability, along, analytical, analyze, applied, background, behavior, canada, communication",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\79541391.pdf
199,13385306,12.07,"000, c, design, development, experience, gin, mode, planning, r, research","145, ability, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\13385306.pdf
200,22605864,12.06,"ability, c, design, engineer, engineering, experience, gin, planning, r, role","000, 145, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\22605864.pdf
201,25207620,12.06,"area, c, cad, communication, design, engineer, engineering, experience, gin, r","000, 145, ability, about, along, analytical, analyze, applied, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\25207620.pdf
202,23497307,11.97,"analytical, analyze, c, communication, engineer, engineering, experience, gin, performance, r","000, 145, ability, about, along, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\23497307.pdf
203,19397727,11.94,"area, background, c, communication, design, engineer, engineering, experience, gin, r","000, 145, ability, about, along, analytical, analyze, applied, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\19397727.pdf
204,15297298,11.93,"000, ability, c, communication, development, experience, gin, performance, planning, r","145, about, along, analytical, analyze, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\15297298.pdf
205,10089434,11.93,"000, ability, area, c, design, experience, gin, planning, r, research","145, about, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\10089434.pdf
206,19850482,11.93,"ability, background, c, communication, design, experience, gin, performance, planning, r","000, 145, about, along, analytical, analyze, applied, area, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\19850482.pdf
207,16803215,11.91,"ability, about, c, communication, engineer, engineering, experience, gin, r, role","000, 145, along, analytical, analyze, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\16803215.pdf
208,15601399,11.88,"000, area, c, communication, engineer, engineering, experience, gin, mode, r","145, ability, about, along, analytical, analyze, applied, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\15601399.pdf
209,20824105,11.87,"c, communication, design, engineer, engineering, experience, gin, mode, r, research","000, 145, ability, about, along, analytical, analyze, applied, area, background",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\20824105.pdf
210,24020470,11.86,"000, ability, c, experience, gin, mode, performance, planning, r, role","145, about, along, analytical, analyze, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\24020470.pdf
211,40018190,11.83,"ability, analytical, c, cad, communication, design, development, experience, performance, r","000, 145, about, along, analyze, applied, area, background, behavior, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\40018190.pdf
212,24230851,11.76,"ability, about, analytical, area, c, communication, design, experience, performance, r","000, 145, along, analyze, applied, background, behavior, cad, canada, development",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\24230851.pdf
213,24889109,11.66,"analyze, area, c, communication, development, experience, gin, performance, r, role","000, 145, ability, about, along, analytical, applied, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.38,E:\hackathon\1\resume\24889109.pdf
214,16899268,11.42,"analyze, c, cad, communication, design, development, experience, gin, planning, r","000, 145, ability, about, along, analytical, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.34,E:\hackathon\1\resume\16899268.pdf
215,20001721,11.41,"ability, analytical, background, c, cad, design, experience, performance, r, research","000, 145, about, along, analyze, applied, area, behavior, canada, communication",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.34,E:\hackathon\1\resume\20001721.pdf
