Rank,Candidate,Score,Strengths,Weaknesses,Explanation,File
104,13569152,39.66,"r, assistant, c, communication, excel, experience, location, manage, management, office","administrative, attention, calendars, calls, coordination, correspondence, daily, description, detail, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\13569152.pdf
105,15118506,39.66,"r, administrative, c, communication, daily, excel, experience, maintain, manage, management","assistant, attention, calendars, calls, coordination, correspondence, description, detail, documents, emails",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\15118506.pdf
106,19396040,39.65,"r, c, documents, excel, experience, location, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, daily, description",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\19396040.pdf
107,21629057,39.65,"r, c, communication, description, detail, experience, location, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, documents, emails",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\21629057.pdf
108,31694970,39.65,"r, c, communication, excel, experience, location, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\31694970.pdf
109,17111768,39.64,"r, c, communication, excel, experience, job, manage, management, managers, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\17111768.pdf
110,13405733,39.64,"r, c, communication, detail, excel, experience, job, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, documents",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\13405733.pdf
111,77828437,39.57,"r, c, detail, documents, excel, experience, manage, management, managers, office","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, daily, description",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\77828437.pdf
112,19796840,39.57,"r, c, communication, experience, job, maintain, manage, management, managers, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\19796840.pdf
113,56691064,39.55,"r, assistant, c, calls, detail, experience, location, maintain, manage, office","administrative, attention, calendars, communication, coordination, correspondence, daily, description, documents, emails",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\56691064.pdf
114,70089206,39.54,"r, c, detail, documents, experience, maintain, manage, management, managers, office","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, daily, description",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\70089206.pdf
115,28035460,39.54,"r, administrative, c, communication, excel, experience, maintain, manage, management","assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail, documents",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\28035460.pdf
116,19201175,39.52,"r, c, communication, daily, excel, experience, maintain, manage, management, managers","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, detail, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\19201175.pdf
117,26291616,39.51,"r, c, communication, coordination, daily, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, correspondence, description, detail, documents, emails",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\26291616.pdf
118,13264796,39.49,"r, c, calls, communication, excel, experience, job, manage, management, office","administrative, assistant, attention, calendars, coordination, correspondence, daily, description, detail, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\13264796.pdf
119,17926546,39.49,"r, c, daily, documents, excel, experience, maintain, manage, management, managers","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\17926546.pdf
120,35651876,39.47,"r, c, communication, daily, experience, job, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, detail, documents",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\35651876.pdf
121,81125166,39.45,"r, c, communication, detail, excel, experience, job, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\81125166.pdf
122,24038620,39.45,"r, c, communication, daily, experience, location, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, detail, documents",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\24038620.pdf
123,23666211,39.44,"r, administrative, c, experience, job, location, manage, management, office","assistant, attention, calendars, calls, communication, coordination, correspondence, daily, description, detail",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\23666211.pdf
124,14554542,39.41,"r, c, communication, coordination, description, detail, documents, experience, location, maintain","administrative, assistant, attention, calendars, calls, correspondence, daily, emails, excel, filing",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\14554542.pdf
125,22890839,39.40,"r, c, excel, experience, job, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, daily, description",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\22890839.pdf
126,37335325,39.38,"r, c, communication, daily, experience, job, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, detail, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\37335325.pdf
127,28672970,39.35,"r, c, communication, coordination, daily, experience, manage, management, office","administrative, assistant, attention, calendars, calls, correspondence, description, detail, documents, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\28672970.pdf
128,26834746,39.34,"r, c, communication, coordination, daily, excel, experience, manage, management","administrative, assistant, attention, calendars, calls, correspondence, description, detail, documents, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\26834746.pdf
129,29975124,39.34,"r, c, communication, daily, excel, experience, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, detail, documents",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\29975124.pdf
130,19397727,39.30,"r, attention, c, communication, detail, documents, excel, experience, maintain","administrative, assistant, calendars, calls, coordination, correspondence, daily, description, emails, filing",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\19397727.pdf
131,17688766,39.29,"r, c, communication, detail, experience, location, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\17688766.pdf
132,38220146,39.25,"r, c, detail, experience, maintain, manage, management, managers, office","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, daily, description",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\38220146.pdf
133,26480367,39.22,"r, c, excel, experience, location, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, daily, description",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\26480367.pdf
134,37242217,39.21,"r, c, communication, coordination, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, correspondence, daily, description, detail, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\37242217.pdf
135,10641230,39.18,"r, administrative, c, daily, detail, experience, manage, management, office","assistant, attention, calendars, calls, communication, coordination, correspondence, description, documents, emails",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\10641230.pdf
136,13454871,39.17,"r, c, communication, documents, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\13454871.pdf
137,17043822,39.17,"r, c, communication, excel, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\17043822.pdf
138,24322804,39.17,"r, c, communication, daily, excel, experience, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, detail, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\24322804.pdf
139,23864648,39.15,"r, c, daily, experience, location, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\23864648.pdf
140,39413067,39.14,"r, c, communication, excel, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\39413067.pdf
141,20674668,39.14,"r, assistant, c, excel, experience, maintain, manage, management, office","administrative, attention, calendars, calls, communication, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\20674668.pdf
142,15651486,39.13,"r, c, calls, experience, location, maintain, manage, management, office","administrative, assistant, attention, calendars, communication, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\15651486.pdf
143,15602094,39.13,"r, c, communication, excel, maintain, manage, management, managers, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\15602094.pdf
144,16899268,39.12,"r, c, communication, daily, detail, experience, manage, management, managers","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, documents, emails",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\16899268.pdf
145,23527321,39.12,"r, c, calls, communication, excel, experience, manage, management, office","administrative, assistant, attention, calendars, coordination, correspondence, daily, description, detail, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\23527321.pdf
146,49127329,39.11,"r, c, daily, job, location, manage, management, managers, office","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\49127329.pdf
147,33381211,39.10,"r, assistant, c, communication, emails, experience, location, manage, management","administrative, attention, calendars, calls, coordination, correspondence, daily, description, detail, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\33381211.pdf
148,19124258,39.10,"r, c, excel, experience, location, maintain, manage, management","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, daily, description",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\19124258.pdf
149,18187364,39.07,"r, c, experience, job, location, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, daily, description",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\18187364.pdf
150,28631840,39.06,"r, c, coordination, detail, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, communication, correspondence, daily, description, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\28631840.pdf
151,27152464,39.05,"r, c, communication, detail, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\27152464.pdf
152,26456899,39.05,"r, c, communication, daily, excel, experience, maintain, manage","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, detail, documents",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\26456899.pdf
153,25930778,39.04,"r, c, calls, daily, detail, experience, job, maintain, office","administrative, assistant, attention, calendars, communication, coordination, correspondence, description, documents, emails",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\25930778.pdf
154,62071407,39.04,"r, c, coordination, detail, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, communication, correspondence, daily, description, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\62071407.pdf
155,10089434,39.02,"r, c, detail, documents, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, daily, description",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\10089434.pdf
156,24889109,39.02,"r, c, communication, excel, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\24889109.pdf
157,17488801,39.01,"r, c, communication, daily, excel, experience, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, detail, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\17488801.pdf
158,11584809,39.00,"r, c, communication, detail, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\11584809.pdf
159,21366189,39.00,"r, c, communication, documents, excel, experience, job, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\21366189.pdf
160,13149176,38.99,"r, c, description, detail, documents, maintain, manage, management","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, daily, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\13149176.pdf
161,24647794,38.98,"r, c, communication, excel, experience, location, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\24647794.pdf
162,23234047,38.98,"r, c, coordination, detail, documents, experience, manage, management, office","administrative, assistant, attention, calendars, calls, communication, correspondence, daily, description, emails",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\23234047.pdf
163,51639418,38.97,"r, c, communication, detail, experience, location, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\51639418.pdf
164,28762662,38.96,"r, c, communication, documents, experience, location, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\28762662.pdf
165,32959732,38.94,"r, c, communication, experience, location, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\32959732.pdf
166,29051656,38.91,"r, c, communication, excel, experience, job, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\29051656.pdf
167,31243710,38.90,"r, assistant, c, excel, experience, job, manage, management","administrative, attention, calendars, calls, communication, coordination, correspondence, daily, description, detail",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\31243710.pdf
168,13836471,38.90,"r, c, daily, detail, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, description, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\13836471.pdf
169,25797445,38.88,"r, c, communication, excel, experience, job, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\25797445.pdf
170,41344156,38.86,"r, c, communication, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\41344156.pdf
171,15858254,38.85,"r, c, communication, excel, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\15858254.pdf
172,30288581,38.84,"r, assistant, c, excel, experience, manage, management, office","administrative, attention, calendars, calls, communication, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\30288581.pdf
173,38535335,38.82,"r, administrative, c, excel, experience, job, maintain","assistant, attention, calendars, calls, communication, coordination, correspondence, daily, description, detail",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.28,E:\hackathon\1\resume\38535335.pdf
174,27536013,38.80,"r, c, communication, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\27536013.pdf
175,54227873,38.79,"r, c, detail, excel, experience, location, manage, management, office","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, daily, description",Similarity=0.00; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\54227873.pdf
176,35737840,38.79,"r, attention, c, daily, detail, excel, experience, maintain","administrative, assistant, calendars, calls, communication, coordination, correspondence, description, documents, emails",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\35737840.pdf
177,14049846,38.78,"r, administrative, c, experience, maintain, manage, management, office","assistant, attention, calendars, calls, communication, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\14049846.pdf
178,64755882,38.78,"r, c, communication, detail, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, documents",Similarity=0.00; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\64755882.pdf
179,47919212,38.77,"r, c, excel, experience, maintain, manage, management, managers","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, daily, description",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\47919212.pdf
180,12011623,38.75,"r, assistant, c, excel, experience, maintain, manage, management","administrative, attention, calendars, calls, communication, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\12011623.pdf
181,11890896,38.75,"r, assistant, c, excel, experience, manage, management, office","administrative, attention, calendars, calls, communication, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\11890896.pdf
182,15297298,38.75,"r, c, communication, detail, excel, experience, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\15297298.pdf
183,82246962,38.74,"r, c, communication, daily, experience, job, maintain, manage","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, detail, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\82246962.pdf
184,28697203,38.74,"r, c, communication, daily, experience, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, detail, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\28697203.pdf
185,66832845,38.71,"r, c, communication, maintain, manage, management, managers, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\66832845.pdf
186,13385306,38.69,"r, c, experience, job, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, daily, description",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\13385306.pdf
187,10712803,38.68,"r, c, communication, experience, job, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\10712803.pdf
188,20882041,38.68,"r, c, communication, excel, experience, job, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\20882041.pdf
189,90280583,38.63,"r, c, excel, experience, maintain, manage, management, managers","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, daily, description",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\90280583.pdf
190,36856210,38.62,"r, c, communication, coordination, excel, experience, manage, management","administrative, assistant, attention, calendars, calls, correspondence, daily, description, detail, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\36856210.pdf
191,15802627,38.60,"r, c, communication, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\15802627.pdf
192,33241454,38.58,"r, c, communication, excel, experience, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\33241454.pdf
193,12763627,38.58,"r, c, communication, daily, detail, experience, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, documents, emails",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\12763627.pdf
194,28126340,38.57,"r, c, detail, experience, manage, management, office","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, daily, description",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.28,E:\hackathon\1\resume\28126340.pdf
195,52246737,38.56,"r, c, daily, experience, location, maintain, manage, management","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\52246737.pdf
196,20981299,38.55,"r, assistant, c, detail, experience, manage, management, office","administrative, attention, calendars, calls, communication, coordination, correspondence, daily, description, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\20981299.pdf
197,31677347,38.54,"r, c, communication, documents, experience, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\31677347.pdf
198,82125182,38.54,"r, c, daily, experience, job, manage, management, office","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\82125182.pdf
199,64468610,38.54,"r, c, communication, documents, experience, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\64468610.pdf
200,28078163,38.53,"r, c, communication, documents, experience, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\28078163.pdf
201,28831378,38.53,"r, c, communication, daily, documents, experience, location, manage","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, detail, emails",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\28831378.pdf
202,92069209,38.52,"r, c, communication, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\92069209.pdf
203,29075857,38.51,"r, c, communication, excel, experience, location, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\29075857.pdf
204,83816738,38.47,"r, c, communication, excel, experience, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.32,E:\hackathon\1\resume\83816738.pdf
205,51588273,38.45,"r, c, communication, experience, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.28,E:\hackathon\1\resume\51588273.pdf
206,28005884,38.43,"r, c, daily, experience, maintain, manage, management","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.28,E:\hackathon\1\resume\28005884.pdf
207,30097175,38.40,"r, assistant, c, daily, excel, experience, office","administrative, attention, calendars, calls, communication, coordination, correspondence, description, detail, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.28,E:\hackathon\1\resume\30097175.pdf
208,18176523,38.36,"r, c, communication, experience, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.28,E:\hackathon\1\resume\18176523.pdf
209,17681064,38.33,"r, c, communication, experience, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.28,E:\hackathon\1\resume\17681064.pdf
